match_id,year,stage,group,home_team,away_team,home_goals,away_goals,neutral
1,1930,Group Stage,A,Indonesia,Wales,1,4,True
2,1930,Group Stage,A,Indonesia,Brazil,0,1,True
3,1930,Group Stage,A,Indonesia,Paraguay,0,4,True
4,1930,Group Stage,A,Wales,Brazil,0,0,True
5,1930,Group Stage,A,Wales,Paraguay,2,3,True
6,1930,Group Stage,A,Brazil,Paraguay,1,0,True
7,1930,Group Stage,B,Spain,Russia,2,0,True
8,1930,Group Stage,B,Spain,Colombia,3,2,True
9,1930,Group Stage,B,Spain,Denmark,1,1,True
10,1930,Group Stage,B,Russia,Colombia,1,1,True
11,1930,Group Stage,B,Russia,Denmark,0,1,True
12,1930,Group Stage,B,Colombia,Denmark,1,2,True
13,1930,Group Stage,C,Trinidad and Tobago,Saudi Arabia,1,2,True
14,1930,Group Stage,C,Trinidad and Tobago,Tunisia,1,1,True
15,1930,Group Stage,C,Trinidad and Tobago,Portugal,2,1,True
16,1930,Group Stage,C,Saudi Arabia,Tunisia,4,0,True
17,1930,Group Stage,C,Saudi Arabia,Portugal,2,1,True
18,1930,Group Stage,C,Tunisia,Portugal,2,1,True
19,1930,Round of 16,,Colombia,Paraguay,2,1,True
20,1930,Round of 16,,Indonesia,Saudi Arabia,2,0,True
21,1930,Round of 16,,Spain,Wales,3,0,True
22,1930,Round of 16,,Trinidad and Tobago,Tunisia,0,1,True
23,1930,Round of 16,,Denmark,Portugal,0,1,True
24,1930,Round of 16,,Brazil,Greece,2,3,True
25,1930,Quarter-finals,,Greece,Portugal,1,2,True
26,1930,Quarter-finals,,Colombia,Tunisia,1,1,True
27,1930,Quarter-finals,,Spain,Indonesia,4,1,True
28,1930,Semi-finals,,Spain,Portugal,1,0,True
29,1934,Group Stage,A,Chile,Senegal,3,0,True
30,1934,Group Stage,A,Chile,Ecuador,2,2,True
31,1934,Group Stage,A,Chile,Netherlands,2,0,True
32,1934,Group Stage,A,Senegal,Ecuador,2,1,True
33,1934,Group Stage,A,Senegal,Netherlands,1,2,True
34,1934,Group Stage,A,Ecuador,Netherlands,0,1,True
35,1934,Group Stage,B,Spain,Honduras,4,1,True
36,1934,Group Stage,B,Spain,Switzerland,0,0,True
37,1934,Group Stage,B,Spain,Canada,4,1,True
38,1934,Group Stage,B,Honduras,Switzerland,1,3,True
39,1934,Group Stage,B,Honduras,Canada,0,1,True
40,1934,Group Stage,B,Switzerland,Canada,2,0,True
41,1934,Group Stage,C,Ireland,Egypt,1,2,True
42,1934,Group Stage,C,Ireland,England,0,0,True
43,1934,Group Stage,C,Ireland,Colombia,3,0,True
44,1934,Group Stage,C,Egypt,England,1,0,True
45,1934,Group Stage,C,Egypt,Colombia,2,2,True
46,1934,Group Stage,C,England,Colombia,0,0,True
47,1934,Round of 16,,Spain,Ireland,3,0,True
48,1934,Round of 16,,Egypt,Canada,0,1,True
49,1934,Round of 16,,Switzerland,Honduras,1,4,True
50,1934,Round of 16,,Chile,Netherlands,1,2,True
51,1934,Round of 16,,Colombia,Ecuador,2,0,True
52,1934,Round of 16,,England,Turkey,3,1,True
53,1934,Quarter-finals,,Canada,Spain,0,1,True
54,1934,Quarter-finals,,Netherlands,Colombia,1,0,True
55,1934,Quarter-finals,,England,Honduras,5,1,True
56,1934,Semi-finals,,Spain,Netherlands,2,1,True
57,1938,Group Stage,A,South Korea,Tunisia,5,0,True
58,1938,Group Stage,A,South Korea,Trinidad and Tobago,2,0,True
59,1938,Group Stage,A,South Korea,Chile,4,1,True
60,1938,Group Stage,A,Tunisia,Trinidad and Tobago,0,0,True
61,1938,Group Stage,A,Tunisia,Chile,1,3,True
62,1938,Group Stage,A,Trinidad and Tobago,Chile,1,1,True
63,1938,Group Stage,B,Morocco,Mexico,2,2,True
64,1938,Group Stage,B,Morocco,Bolivia,3,1,True
65,1938,Group Stage,B,Morocco,Ireland,1,2,True
66,1938,Group Stage,B,Mexico,Bolivia,0,0,True
67,1938,Group Stage,B,Mexico,Ireland,2,0,True
68,1938,Group Stage,B,Bolivia,Ireland,1,0,True
69,1938,Group Stage,C,Nigeria,Senegal,3,1,True
70,1938,Group Stage,C,Nigeria,Greece,0,1,True
71,1938,Group Stage,C,Nigeria,Peru,1,0,True
72,1938,Group Stage,C,Senegal,Greece,2,0,True
73,1938,Group Stage,C,Senegal,Peru,2,1,True
74,1938,Group Stage,C,Greece,Peru,2,4,True
75,1938,Round of 16,,Tunisia,Chile,5,1,True
76,1938,Round of 16,,Mexico,Senegal,0,4,True
77,1938,Round of 16,,South Korea,Morocco,3,1,True
78,1938,Round of 16,,Slovakia,Greece,1,2,True
79,1938,Round of 16,,Peru,Ireland,0,5,True
80,1938,Round of 16,,Trinidad and Tobago,Bolivia,1,0,True
81,1938,Quarter-finals,,Greece,Ireland,2,1,True
82,1938,Quarter-finals,,Senegal,Trinidad and Tobago,1,0,True
83,1938,Quarter-finals,,Tunisia,South Korea,4,0,True
84,1938,Semi-finals,,Senegal,Greece,1,2,True
85,1950,Group Stage,A,Brazil,Slovakia,4,0,True
86,1950,Group Stage,A,Brazil,Senegal,3,2,True
87,1950,Group Stage,A,Brazil,Qatar,2,0,True
88,1950,Group Stage,A,Slovakia,Senegal,3,0,True
89,1950,Group Stage,A,Slovakia,Qatar,7,2,True
90,1950,Group Stage,A,Senegal,Qatar,2,1,True
91,1950,Group Stage,B,Turkey,Argentina,2,1,True
92,1950,Group Stage,B,Turkey,Canada,0,1,True
93,1950,Group Stage,B,Turkey,Ukraine,0,0,True
94,1950,Group Stage,B,Argentina,Canada,3,1,True
95,1950,Group Stage,B,Argentina,Ukraine,4,0,True
96,1950,Group Stage,B,Canada,Ukraine,0,3,True
97,1950,Group Stage,C,Belgium,USA,1,1,True
98,1950,Group Stage,C,Belgium,Germany,0,2,True
99,1950,Group Stage,C,Belgium,Indonesia,4,0,True
100,1950,Group Stage,C,USA,Germany,0,0,True
101,1950,Group Stage,C,USA,Indonesia,0,0,True
102,1950,Group Stage,C,Germany,Indonesia,4,2,True
103,1950,Group Stage,D,Russia,Japan,1,2,True
104,1950,Group Stage,D,Russia,Romania,1,1,True
105,1950,Group Stage,D,Russia,France,1,2,True
106,1950,Group Stage,D,Japan,Romania,1,1,True
107,1950,Group Stage,D,Japan,France,0,8,True
108,1950,Group Stage,D,Romania,France,0,3,True
109,1950,Round of 16,,Indonesia,Senegal,1,5,True
110,1950,Round of 16,,Germany,Turkey,1,0,True
111,1950,Round of 16,,Ukraine,Japan,3,2,True
112,1950,Round of 16,,Slovakia,Canada,1,0,True
113,1950,Round of 16,,Argentina,USA,5,0,True
114,1950,Round of 16,,Qatar,Romania,4,1,True
115,1950,Round of 16,,Russia,Belgium,1,2,True
116,1950,Round of 16,,France,Brazil,3,1,True
117,1950,Quarter-finals,,Belgium,France,0,0,True
118,1950,Quarter-finals,,Qatar,Senegal,1,2,True
119,1950,Quarter-finals,,Argentina,Ukraine,3,0,True
120,1950,Quarter-finals,,Germany,Slovakia,0,0,True
121,1950,Semi-finals,,Germany,Argentina,1,0,True
